Food Name,Standard Quantity,Type,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Fiber (g),Sugars (g),Glycemic Index,Suitable for Diabetes,Suitable for Blood Pressure,Calcium (mg),Cholesterol (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Monounsaturated Fats (g),Nutrition Density,Phosphorus (mg),Polyunsaturated Fats (g),Potassium (mg),Saturated Fats (g),Selenium (mcg),Sodium (mg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin B11 (mcg),Vitamin B12 (mcg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Water (g),Zinc (mg)
abalone,100g,Protein,89,15.4,0.637,5.416,0,0,40,1,1,26.4,72.3,0.2,2.7,40.8,0.014,0.02,51.092,161.5,0.091,212.5,0.1,0.095,0.3,0.056,0.2,0.038,0.057,0.09,1.3,2.6,0.1,1.7,0,3.4,0.043,63.4,0.7
abiyuch,100g,Carbohydrates,157,3.036,0.179,35.812,12.1,19.5,50,1,1,18.2,0,0.1,3.7,54.7,0.4,0,201,107.2,0,693.1,0.065,0,0.093,0,0,0,0,0,0,0,0,123.3,0,0,0,0.182,0.7
acai (brazil),100g,Carbohydrates,41,0.82,0,9.43,5,2.33,43,1,1,91,0,1.743,2.43,18,7.348,23.879,53.76,725,24.399,113,16.134,1917,103,0,0.617,0.079,0,0.035,0.295,0.507,0.101,0.7,3.945,5.65,0,3.42,4.06
acai berries,100g,Carbohydrates,200,0,0,50,12,6.41,21,1,1,53,0,0.051,0.37,65,7.348,0.044,40.63,20,0.152,500,0.019,0.3,317,2,0.028,0.079,0,0.028,0.396,0.507,0.048,44.1,3.945,0.37,7.3,0.089,0.15
acerola cherries,100g,Carbohydrates,143,4.4,2.2,26.4,4,67.15,23,1,1,24,0,0.229,0.68,38,7.348,0.177,25.28,36,0.194,383,0.146,0.4,304,141,0.058,0.079,0,0.101,0.867,0.507,0.101,19.3,3.945,0.17,5.1,16.6,0.25
acerola cherry,100g,Carbohydrates,2,0.066,0.044,0.336,0.077,0,0,1,1,0,0,0.6,0.007,0.021,0.9,0.086,0.707,0,0.036,0.5,0.074,7,0.088,0,0,0.039,0.038,0,0.093,0.026,0.072,0.076,80.5,0,0,4.4,0.045
acerola cherry juice,100g,Carbohydrates,56,0.988,0.691,11.457,0.7,10.9,40,1,1,24.2,0,0.2,1.2,29,0,0.2,3911.4,21.8,0.2,234.7,0.2,0.061,0.082,0,0.067,0.084,0,0.1,1,0.5,0.051,3872,0,0.4,0.057,0.228,0.2
acorn dried,100g,Carbohydrates,144,2.207,8.538,14.582,0,0,55,1,1,15.3,0,0.2,0.3,23.2,0.4,5.6,42,29.1,1.7,200.6,1.2,0,0,0,0.005,0.085,0,0.021,0.7,0.3,0.2,0,0,0,0,1.4,0.2
acorn flour,100g,Carbohydrates,626,0,0,100,0,0,55,1,1,53.8,0,0.8,1.5,137.5,2.2,23.9,170.7,128.8,7.3,890,4.9,0,0,0,0.2,0.1,0,0.2,3,1.2,0.9,0,0,0,0,0,0.8
acorn raw,100g,Carbohydrates,110,1.64,6.561,11.096,0,0,55,1,1,11.6,0,0.2,0.2,17.5,0.4,4.3,31.8,22.4,1.3,152.5,0.9,0,0,0,0.016,0.06,0,0.045,0.5,0.2,0.1,0,0,0,0,7.9,0.1
acorn squash cooked,100g,Carbohydrates,115,2.011,0.262,26.148,9,0,55,1,1,90.2,0,0.2,1.9,88.2,0.5,0.072,155.7,92.3,0.1,895.9,0.023,0.07,0.5,0,0.3,0.031,0,0.008,1.8,1,0.4,22.1,0,0,0,0.17,0.3
acorn squash raw,100g,Carbohydrates,172,2.972,0.35,39.242,6.5,0,55,1,1,142.2,0,0.3,3,137.9,0.7,0.086,247.8,155.2,0.2,1495.6,0.091,0.077,0.017,0,0.6,0.06,0,0.071,3,1.7,0.7,47.4,0,0,0,0.378,0.6
acorns (north america),100g,Carbohydrates,184,2.191,8.762,24.095,13,6.993,54,1,1,115,4.178,10.219,1.479,61,7.348,1.557,27.01,81.581,1.174,206,1.031,56.024,12,12.536,0.136,0.079,0.053,0.096,1.296,0.507,0.191,11.557,3.945,0.505,6.621,64.953,0.727
adobo fresco,100g,Fat,780,0,86.667,0,3.7,5.8,60,1,1,354.2,0,0.088,9.2,66.2,0,43.1,503.4,109.4,5.9,538.6,8.4,0.024,49.4,0,0.1,0.094,0,0.037,1.4,0,0,16.7,0,7.7,0.088,0.064,0.7
adzuki beans,100g,Fat,475,0,52.778,0,0,0.31,11,1,1,93,0,0.202,1.96,162,2.115,2.828,5.01,135,2.897,332,1.017,4.6,392,0,0.181,0.724,0,0.054,0.322,0.485,0.167,0.5,0.46,1.62,10.9,0.059,0.94
"adzuki beans (japan, china)",100g,Protein,219,16.724,15.131,3.982,3,1.639,14,1,1,18,143.253,5.56,2.725,25,4.058,6.872,26.05,273.205,2.819,417,5.983,41.361,275,12.275,0.281,0.081,0.308,0.335,5.802,1.874,0.517,4.834,0.474,0.574,4.115,0.106,3.076
